Binomial,Range,Genus,Family,Order,AdultBodyMassG,GenerationLengthD,RedListStatus,TrophicLevel
Crocidura rapax,230062968679.375,Crocidura,Soricidae,Eulipotyphla,11.79289643,427.67965,DD,Insectivore
Crocidura religiosa,23650026617.4304,Crocidura,Soricidae,Eulipotyphla,7,409.171225,DD,Insectivore
Crocidura rhoditis,97286890447.5937,Crocidura,Soricidae,Eulipotyphla,14,427.67965,LC,Insectivore
Crocidura roosevelti,1976063135462.73,Crocidura,Soricidae,Eulipotyphla,11,427.67965,LC,Insectivore
Crocidura russula,1926182437568.43,Crocidura,Soricidae,Eulipotyphla,9.89,448.652,LC,Insectivore
Crocidura selina,28965915148.2047,Crocidura,Soricidae,Eulipotyphla,11.79289643,427.67965,DD,Insectivore
Crocidura serezkyensis,280073570156.632,Crocidura,Soricidae,Eulipotyphla,8.157340556,409.171225,LC,Insectivore
Crocidura shantungensis,3049262929415.57,Crocidura,Soricidae,Eulipotyphla,4.5,409.171225,LC,Insectivore
Crocidura sibirica,6044227821874.47,Crocidura,Soricidae,Eulipotyphla,73,427.67965,LC,Insectivore
Crocidura sicula,25785949032.3633,Crocidura,Soricidae,Eulipotyphla,6.9,409.171225,LC,Insectivore
Crocidura silacea,339606763084.969,Crocidura,Soricidae,Eulipotyphla,7,409.171225,LC,Insectivore
Crocidura smithii,185984455784.225,Crocidura,Soricidae,Eulipotyphla,8.157340556,409.171225,LC,Insectivore
Crocidura somalica,175965751099.092,Crocidura,Soricidae,Eulipotyphla,11.5,427.67965,LC,Insectivore
Crocidura stenocephala,1374890878.58198,Crocidura,Soricidae,Eulipotyphla,8.157340556,409.171225,EN,Insectivore
Crocidura suaveolens,12626318704723.2,Crocidura,Soricidae,Eulipotyphla,7.35,369.69045,LC,Insectivore
Crocidura susiana,4176841495.67599,Crocidura,Soricidae,Eulipotyphla,11.79289643,427.67965,DD,Insectivore
Crocidura tanakae,82788975582.7369,Crocidura,Soricidae,Eulipotyphla,14.5,427.67965,LC,Insectivore
Crocidura tansaniana,2832650314.5445,Crocidura,Soricidae,Eulipotyphla,12,427.67965,EN,Insectivore
Crocidura tarella,2060531483.02511,Crocidura,Soricidae,Eulipotyphla,8.157340556,409.171225,EN,Insectivore
Crocidura tarfayensis,267266757280.248,Crocidura,Soricidae,Eulipotyphla,6.59,409.171225,DD,Insectivore
Crocidura telfordi,4256997436.02288,Crocidura,Soricidae,Eulipotyphla,13.6,427.67965,VU,Insectivore
Crocidura tenuis,28585478773.366,Crocidura,Soricidae,Eulipotyphla,11.79289643,427.67965,DD,Insectivore
Crocidura thalia,161503204577.246,Crocidura,Soricidae,Eulipotyphla,8.157340556,409.171225,LC,Insectivore
Crocidura theresae,270563697750.476,Crocidura,Soricidae,Eulipotyphla,17.6,427.67965,LC,Insectivore
Crocidura thomensis,856641627.440886,Crocidura,Soricidae,Eulipotyphla,8.157340556,409.171225,EN,Insectivore
Crocidura turba,4878103985758.51,Crocidura,Soricidae,Eulipotyphla,14.49,427.67965,LC,Insectivore
Crocidura ultima,1277468526.44431,Crocidura,Soricidae,Eulipotyphla,16,427.67965,DD,Insectivore
Crocidura usambarae,5471909374.27484,Crocidura,Soricidae,Eulipotyphla,11.83,427.67965,VU,Insectivore
Crocidura viaria,8206165138950.03,Crocidura,Soricidae,Eulipotyphla,16.49,427.67965,LC,Insectivore
Crocidura virgata,84379021.1355588,Crocidura,Soricidae,Eulipotyphla,11.79289643,427.67965,LC,Insectivore
Crocidura voi,3003725295388.37,Crocidura,Soricidae,Eulipotyphla,8.157340556,409.171225,LC,Insectivore
Crocidura vorax,1238061303134.23,Crocidura,Soricidae,Eulipotyphla,8.157340556,409.171225,LC,Insectivore
Crocidura vosmaeri,11525821010.4175,Crocidura,Soricidae,Eulipotyphla,11.79289643,427.67965,DD,Insectivore
Crocidura watasei,2460829323.48706,Crocidura,Soricidae,Eulipotyphla,6.5,409.171225,LC,Insectivore
Crocidura whitakeri,759432734502.855,Crocidura,Soricidae,Eulipotyphla,5.58,409.171225,LC,Insectivore
Crocidura wimmeri,33802027.8544202,Crocidura,Soricidae,Eulipotyphla,23.5,427.67965,CR,Insectivore
Crocidura wuchihensis,3884856038.78563,Crocidura,Soricidae,Eulipotyphla,11.79289643,427.67965,DD,Insectivore
Crocidura xantippe,26975220482.5013,Crocidura,Soricidae,Eulipotyphla,11.4,427.67965,LC,Insectivore
Crocidura yankariensis,1389106242165.91,Crocidura,Soricidae,Eulipotyphla,4.99,409.171225,LC,Insectivore
Crocidura zaphiri,9993169650.63943,Crocidura,Soricidae,Eulipotyphla,11.79289643,427.67965,DD,Insectivore
Crocidura zarudnyi,543621677632.121,Crocidura,Soricidae,Eulipotyphla,6.708,409.171225,LC,Insectivore
Crocidura zimmeri,643732335.082015,Crocidura,Soricidae,Eulipotyphla,14.49,427.67965,DD,Insectivore
Crocidura zimmermanni,8357697899.62873,Crocidura,Soricidae,Eulipotyphla,7.76,409.171225,VU,Insectivore
Crossarchus alexandri,1412932502703.17,Crossarchus,Herpestidae,Carnivora,1503.4,2110.425,LC,Omnivore
Crossarchus ansorgei,602126502766.824,Crossarchus,Herpestidae,Carnivora,700,1317.65,LC,Omnivore
Crossarchus obscurus,492155149240.888,Crossarchus,Herpestidae,Carnivora,1395.09,1384.606533,LC,Omnivore
Crossarchus platycephalus,514816008945.259,Crossarchus,Herpestidae,Carnivora,1250,1507.34,LC,Omnivore
Crossomys moncktoni,138694412475.558,Crossomys,Muridae,Rodentia,168.42,639.6318318,LC,Insectivore
Crunomys celebensis,10307780294.75,Crunomys,Muridae,Rodentia,42.5,624.3996409,DD,Insectivore
Crunomys fallax,5005243740.44201,Crunomys,Muridae,Rodentia,42.5,624.3996409,DD,Omnivore
Crunomys melanius,34392852713.4803,Crunomys,Muridae,Rodentia,42.5,624.3996409,VU,Omnivore
Crunomys suncoides,481931310.450546,Crunomys,Muridae,Rodentia,42.5,624.3996409,DD,Insectivore
Cryptochloris zyli,2120386418.15343,Cryptochloris,Chrysochloridae,Afrosoricida,21,1036.557583,EN,Insectivore
Cryptomys hottentotus,828379875235.287,Cryptomys,Bathyergidae,Rodentia,75.13,1606.95955,LC,Herbivore
Cryptonanus agricolai,1141063728855.88,Cryptonanus,Didelphidae,Didelphimorphia,196.8175859,843.3734222,DD,Omnivore
Cryptonanus chacoensis,880504090762.775,Cryptonanus,Didelphidae,Didelphimorphia,196.8175859,843.3734222,LC,Omnivore
Cryptonanus guahybae,7567017802.80177,Cryptonanus,Didelphidae,Didelphimorphia,196.8175859,843.3734222,DD,Omnivore
Cryptonanus unduaviensis,310850998397.679,Cryptonanus,Didelphidae,Didelphimorphia,196.8175859,843.3734222,DD,Omnivore
Cryptotis alticola,62305345944.6961,Cryptotis,Soricidae,Eulipotyphla,8.417492407,330.7472,DD,Insectivore
Cryptotis brachyonyx,2677369393.96622,Cryptotis,Soricidae,Eulipotyphla,8.417492407,330.7472,DD,Insectivore
Cryptotis colombiana,5940029833.54211,Cryptotis,Soricidae,Eulipotyphla,8.417492407,330.7472,LC,Insectivore
Cryptotis endersi,1049020087.68206,Cryptotis,Soricidae,Eulipotyphla,8,330.7472,EN,Insectivore
Cryptotis equatoris,33341390323.771,Cryptotis,Soricidae,Eulipotyphla,7.7,330.7472,LC,Insectivore
Cryptotis goldmani,47998508588.6837,Cryptotis,Soricidae,Eulipotyphla,6.73,330.7472,LC,Insectivore
Cryptotis goodwini,39439360091.6882,Cryptotis,Soricidae,Eulipotyphla,7,330.7472,LC,Insectivore
Cryptotis gracilis,13696150577.4849,Cryptotis,Soricidae,Eulipotyphla,7,330.7472,VU,Insectivore
Cryptotis griseoventris,156785142.087698,Cryptotis,Soricidae,Eulipotyphla,9,330.7472,EN,Insectivore
Cryptotis hondurensis,96616503.7734648,Cryptotis,Soricidae,Eulipotyphla,8.417492407,330.7472,DD,Insectivore
Cryptotis magna,14384643894.073,Cryptotis,Soricidae,Eulipotyphla,7,330.7472,VU,Insectivore
Cryptotis mayensis,136563231687.636,Cryptotis,Soricidae,Eulipotyphla,5,330.7472,LC,Insectivore
Cryptotis medellinia,14038816711.1264,Cryptotis,Soricidae,Eulipotyphla,16,330.7472,LC,Insectivore
Cryptotis meridensis,13485206937.1489,Cryptotis,Soricidae,Eulipotyphla,12.63,330.7472,VU,Insectivore
Cryptotis merriami,95421544334.8305,Cryptotis,Soricidae,Eulipotyphla,5,330.7472,LC,Insectivore
Cryptotis mexicana,31916091984.233,Cryptotis,Soricidae,Eulipotyphla,7,330.7472,LC,Insectivore
Cryptotis montivaga,29768535133.2464,Cryptotis,Soricidae,Eulipotyphla,11.29,330.7472,LC,Insectivore
Cryptotis nelsoni,26785848.2145226,Cryptotis,Soricidae,Eulipotyphla,8,330.7472,CR,Insectivore
Cryptotis nigrescens,21177621773.6813,Cryptotis,Soricidae,Eulipotyphla,8.32,330.7472,LC,Insectivore
Cryptotis obscura,14446613024.9877,Cryptotis,Soricidae,Eulipotyphla,6.9,330.7472,LC,Insectivore
Cryptotis orophila,102688797553.49,Cryptotis,Soricidae,Eulipotyphla,8.417492407,330.7472,DD,Insectivore
Cryptotis parva,4122005688227.11,Cryptotis,Soricidae,Eulipotyphla,4.97,330.7472,LC,Insectivore
Cryptotis peregrina,684989606.526257,Cryptotis,Soricidae,Eulipotyphla,8.417492407,330.7472,DD,Insectivore
Cryptotis peruviensis,7536023097.10725,Cryptotis,Soricidae,Eulipotyphla,8.417492407,330.7472,DD,Insectivore
Cryptotis phillipsii,5969886065.42037,Cryptotis,Soricidae,Eulipotyphla,8.3,330.7472,VU,Insectivore
Cryptotis squamipes,38079811681.6932,Cryptotis,Soricidae,Eulipotyphla,11,330.7472,LC,Insectivore
Cryptotis tamensis,5984294515.78294,Cryptotis,Soricidae,Eulipotyphla,8.417492407,330.7472,LC,Insectivore
Cryptotis thomasi,23699206429.8506,Cryptotis,Soricidae,Eulipotyphla,11.77,330.7472,LC,Insectivore
Cryptotis tropicalis,109304889323.329,Cryptotis,Soricidae,Eulipotyphla,8.417492407,330.7472,DD,Insectivore
Ctenodactylus gundi,132731692492.564,Ctenodactylus,Ctenodactylidae,Rodentia,288.41,824.2155,LC,Herbivore
Ctenodactylus vali,57358200887.363,Ctenodactylus,Ctenodactylidae,Rodentia,173.6,847.3821,DD,Herbivore
Ctenomys argentinus,27074729415.3819,Ctenomys,Ctenomyidae,Rodentia,221.3,600.93415,NT,Herbivore
Ctenomys australis,38461020915.6627,Ctenomys,Ctenomyidae,Rodentia,403.32,600.93415,EN,Herbivore
Ctenomys azarae,7813368079.79979,Ctenomys,Ctenomyidae,Rodentia,400,600.93415,VU,Herbivore
Ctenomys bergi,5375562627.85329,Ctenomys,Ctenomyidae,Rodentia,5.428350776,600.93415,VU,Herbivore
Ctenomys boliviensis,133229661129.606,Ctenomys,Ctenomyidae,Rodentia,462.6,600.93415,LC,Herbivore
Ctenomys bonettoi,19378028989.9365,Ctenomys,Ctenomyidae,Rodentia,202.3,600.93415,EN,Herbivore
Ctenomys brasiliensis,203838009608.85,Ctenomys,Ctenomyidae,Rodentia,400,600.93415,DD,Herbivore
Ctenomys colburni,718209487.549636,Ctenomys,Ctenomyidae,Rodentia,400,600.93415,DD,Herbivore
Ctenomys coludo,9246195890.30431,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,DD,Herbivore
Ctenomys conoveri,98393561139.2474,Ctenomys,Ctenomyidae,Rodentia,859.99,600.93415,LC,Herbivore
Ctenomys coyhaiquensis,227196552.935194,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,DD,Herbivore
Ctenomys dorbignyi,8816079754.80211,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,NT,Herbivore
Ctenomys dorsalis,11127233619.8215,Ctenomys,Ctenomyidae,Rodentia,165.6,600.93415,DD,Herbivore
Ctenomys emilianus,9659882179.87703,Ctenomys,Ctenomyidae,Rodentia,285.29,600.93415,NT,Herbivore
Ctenomys famosus,559538718.538586,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,DD,Herbivore
Ctenomys flamarioni,7846590553.20795,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,EN,Herbivore
Ctenomys fochi,524455712.211729,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,DD,Herbivore
Ctenomys fodax,1828165312.3872,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,DD,Herbivore
Ctenomys frater,217645375535.278,Ctenomys,Ctenomyidae,Rodentia,172.9,600.93415,LC,Herbivore
Ctenomys fulvus,74450321906.3264,Ctenomys,Ctenomyidae,Rodentia,279.88,600.93415,LC,Herbivore
Ctenomys goodfellowi,22596269984.2295,Ctenomys,Ctenomyidae,Rodentia,5.428350776,600.93415,LC,Herbivore
Ctenomys haigi,26901840378.2441,Ctenomys,Ctenomyidae,Rodentia,164,600.93415,LC,Herbivore
Ctenomys johannis,238064815.974546,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,DD,Herbivore
Ctenomys juris,704874898.153277,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,DD,Herbivore
Ctenomys knighti,8240901881.98467,Ctenomys,Ctenomyidae,Rodentia,316,600.93415,DD,Herbivore
Ctenomys lami,11405510500.2597,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,VU,Herbivore
Ctenomys latro,6530964074.51422,Ctenomys,Ctenomyidae,Rodentia,192,600.93415,VU,Herbivore
Ctenomys leucodon,11433933252.695,Ctenomys,Ctenomyidae,Rodentia,243.6,600.93415,LC,Herbivore
Ctenomys lewisi,4752391612.81001,Ctenomys,Ctenomyidae,Rodentia,117.2,600.93415,LC,Herbivore
Ctenomys magellanicus,78725949201.9984,Ctenomys,Ctenomyidae,Rodentia,271.44,600.93415,VU,Herbivore
Ctenomys maulinus,51466006624.6307,Ctenomys,Ctenomyidae,Rodentia,215,600.93415,LC,Herbivore
Ctenomys mendocinus,137011284696.113,Ctenomys,Ctenomyidae,Rodentia,178.44,600.93415,LC,Herbivore
Ctenomys minutus,73655728448.254,Ctenomys,Ctenomyidae,Rodentia,92,600.93415,DD,Herbivore
Ctenomys occultus,38100901552.0719,Ctenomys,Ctenomyidae,Rodentia,150,600.93415,EN,Herbivore
Ctenomys opimus,288127495588.624,Ctenomys,Ctenomyidae,Rodentia,327.05,600.93415,LC,Herbivore
Ctenomys osvaldoreigi,44982662559.0037,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,CR,Herbivore
Ctenomys pearsoni,11527637108.8762,Ctenomys,Ctenomyidae,Rodentia,212,600.93415,NT,Herbivore
Ctenomys perrensi,45294287218.1955,Ctenomys,Ctenomyidae,Rodentia,400,600.93415,LC,Herbivore
Ctenomys peruanus,5464142628.48813,Ctenomys,Ctenomyidae,Rodentia,488.36,600.93415,LC,Herbivore
Ctenomys pilarensis,1279694404.09899,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,EN,Herbivore
Ctenomys pontifex,947218873.333674,Ctenomys,Ctenomyidae,Rodentia,400,600.93415,DD,Herbivore
Ctenomys porteousi,33106342336.3421,Ctenomys,Ctenomyidae,Rodentia,192.4,600.93415,NT,Herbivore
Ctenomys pundti,10499293279.3852,Ctenomys,Ctenomyidae,Rodentia,163.05,600.93415,VU,Herbivore
Ctenomys rionegrensis,86781047523.299,Ctenomys,Ctenomyidae,Rodentia,5.428350776,600.93415,EN,Herbivore
Ctenomys roigi,84659546.21819,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,CR,Herbivore
Ctenomys saltarius,2780049225.22275,Ctenomys,Ctenomyidae,Rodentia,230,600.93415,DD,Herbivore
Ctenomys scagliai,166723487.802012,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,DD,Herbivore
Ctenomys sericeus,306685103.839955,Ctenomys,Ctenomyidae,Rodentia,400,600.93415,DD,Herbivore
Ctenomys sociabilis,22795877505.2598,Ctenomys,Ctenomyidae,Rodentia,400,600.93415,CR,Herbivore
Ctenomys steinbachi,19203841780.4056,Ctenomys,Ctenomyidae,Rodentia,384.99,600.93415,LC,Herbivore
Ctenomys talarum,51288377068.065,Ctenomys,Ctenomyidae,Rodentia,140.84,600.93415,LC,Herbivore
Ctenomys torquatus,240794289828.817,Ctenomys,Ctenomyidae,Rodentia,209.49,600.93415,LC,Herbivore
Ctenomys tuconax,738648396.696393,Ctenomys,Ctenomyidae,Rodentia,248.99,600.93415,DD,Herbivore
Ctenomys tucumanus,7703714617.02945,Ctenomys,Ctenomyidae,Rodentia,217,600.93415,DD,Herbivore
Ctenomys tulduco,143161336.150551,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,DD,Herbivore
Ctenomys validus,832935709.09917,Ctenomys,Ctenomyidae,Rodentia,232.6,600.93415,DD,Herbivore
Ctenomys viperinus,285482713.204068,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,DD,Herbivore
Ctenomys yolandae,393416081.895351,Ctenomys,Ctenomyidae,Rodentia,264.7784159,600.93415,DD,Herbivore
Cuniculus paca,13330023364072.2,Cuniculus,Cuniculidae,Rodentia,8172.55,2097.4631,LC,Herbivore
Cuniculus taczanowskii,406861255628.035,Cuniculus,Cuniculidae,Rodentia,8999.95,2097.4631,NT,Omnivore
Cuscomys ashaninka,44226017.7945607,Cuscomys,Abrocomidae,Rodentia,164.2793,1032.923574,DD,Herbivore
Cyclopes didactylus,7892634359758.35,Cyclopes,Cyclopedidae,Pilosa,263.95,3936.035513,LC,Insectivore
Cynictis penicillata,2252374387481.74,Cynictis,Herpestidae,Carnivora,694.41,1930.60005,LC,Carnivore
Cynocephalus volans,120524268005.486,Cynocephalus,Cynocephalidae,Dermoptera,1250,2840.441639,LC,Herbivore
Cynomops abrasus,9897222826215.61,Cynomops,Molossidae,Chiroptera,35.39,1427.913317,DD,Insectivore
Cynomops greenhalli,4472126119428.52,Cynomops,Molossidae,Chiroptera,15.87,1427.913317,LC,Insectivore
Cynomops mexicanus,236547610505.67,Cynomops,Molossidae,Chiroptera,19.065,1427.913317,LC,Insectivore
Cynomops paranus,6866885276824.39,Cynomops,Molossidae,Chiroptera,12.16,1427.913317,DD,Insectivore
Cynomops planirostris,11450257044776.9,Cynomops,Molossidae,Chiroptera,12.84,1427.913317,LC,Insectivore
Cynomys gunnisoni,309504089615.594,Cynomys,Sciuridae,Rodentia,797.93,1567.7682,LC,Herbivore
Cynomys leucurus,269601970625.806,Cynomys,Sciuridae,Rodentia,963.76,1567.7682,LC,Herbivore
Cynomys mexicanus,584004012.762556,Cynomys,Sciuridae,Rodentia,899.98,1567.7682,EN,Herbivore
Cynopterus brachyotis,2699824266684.85,Cynopterus,Pteropodidae,Chiroptera,33.87,1287.664,LC,Herbivore
Cynopterus horsfieldii,1485603333650.54,Cynopterus,Pteropodidae,Chiroptera,56.01,1286.45835,LC,Herbivore
Cynopterus luzoniensis,455804740183.163,Cynopterus,Pteropodidae,Chiroptera,43.874,1286.45835,LC,Herbivore
Cynopterus minutus,1461294070628.65,Cynopterus,Pteropodidae,Chiroptera,26.45,1286.45835,LC,Herbivore
Cynopterus nusatenggara,85669016912.3876,Cynopterus,Pteropodidae,Chiroptera,43.874,1286.45835,LC,Herbivore
Cynopterus sphinx,6456511570053.29,Cynopterus,Pteropodidae,Chiroptera,44.71,1285.2527,LC,Herbivore
Cynopterus titthaecheilus,598087135346.501,Cynopterus,Pteropodidae,Chiroptera,58.33,1286.45835,LC,Herbivore
Cyttarops alecto,687747272856.871,Cyttarops,Emballonuridae,Chiroptera,5.3,894.25,LC,Insectivore
Dacnomys millardi,41720684275.4096,Dacnomys,Muridae,Rodentia,141.0605074,639.6318318,DD,Omnivore
Dactylomys boliviensis,336905939846.193,Dactylomys,Echimyidae,Rodentia,728.8,739.0095889,LC,Herbivore
Dactylomys dactylinus,3306574863480.67,Dactylomys,Echimyidae,Rodentia,649.98,739.0095889,LC,Herbivore
Dactylomys peruanus,163766882.559509,Dactylomys,Echimyidae,Rodentia,382,739.0095889,DD,Herbivore
Dactylonax palpator,213289186467.804,Dactylonax,Petauridae,Diprotodontia,359,1905.2339,LC,Insectivore
Dactylopsila megalura,62974324445.3134,Dactylopsila,Petauridae,Diprotodontia,319.2747,1905.2339,LC,Omnivore
Dactylopsila tatei,144866537.008237,Dactylopsila,Petauridae,Diprotodontia,252,1905.2339,EN,Omnivore
Dactylopsila trivirgata,765397191706.842,Dactylopsila,Petauridae,Diprotodontia,413.41,1905.2339,LC,Insectivore
Dama dama,188667439204.412,Dama,Cervidae,Cetartiodactyla,57224.61,3286.095,LC,Herbivore
Dama mesopotamica,66317293.5961025,Dama,Cervidae,Cetartiodactyla,57224.61,2605.92075,EN,Herbivore
Dasycercus blythi,1471982423542.73,Dasycercus,Dasyuridae,Dasyuromorphia,99.54,1070.30375,LC,Carnivore
Dasykaluta rosamondae,386578707684.164,Dasykaluta,Dasyuridae,Dasyuromorphia,32.17,612.15985,LC,Carnivore
Dasymys foxi,51938257925.1464,Dasymys,Muridae,Rodentia,81.91666667,624.3996409,DD,Herbivore
Dasymys incomtus,6435516152235.37,Dasymys,Muridae,Rodentia,127.75,639.6318318,LC,Herbivore
Dasymys montanus,1879353861.99966,Dasymys,Muridae,Rodentia,59,624.3996409,EN,Herbivore
Dasymys nudipes,137662434786.07,Dasymys,Muridae,Rodentia,81.91666667,624.3996409,DD,Herbivore
Dasymys rufulus,1666893482083.18,Dasymys,Muridae,Rodentia,59,624.3996409,LC,Herbivore
Dasyprocta azarae,1667306947334.28,Dasyprocta,Dasyproctidae,Rodentia,2976.81,1891.0246,DD,Herbivore
Dasyprocta coibae,500487574.962799,Dasyprocta,Dasyproctidae,Rodentia,8.082422901,1891.0246,VU,Herbivore
Dasyprocta fuliginosa,2612229729897.98,Dasyprocta,Dasyproctidae,Rodentia,3500.02,1891.0246,LC,Herbivore
Dasyprocta guamara,22949449908.9629,Dasyprocta,Dasyproctidae,Rodentia,2650.03,1891.0246,NT,Herbivore
Dasyprocta kalinowskii,67067984814.8987,Dasyprocta,Dasyproctidae,Rodentia,2650.03,1891.0246,DD,Herbivore
Dasyprocta leporina,4557311763879.37,Dasyprocta,Dasyproctidae,Rodentia,3009.99,2098.68845,LC,Herbivore
Dasyprocta mexicana,70123860152.2836,Dasyprocta,Dasyproctidae,Rodentia,4999.99,1891.0246,CR,Herbivore
Dasyprocta prymnolopha,1929753312737.46,Dasyprocta,Dasyproctidae,Rodentia,2900,1891.0246,LC,Herbivore
Dasyprocta punctata,1306837669221.7,Dasyprocta,Dasyproctidae,Rodentia,2309.12,1683.36075,LC,Herbivore
Dasyprocta ruatanica,156605087.809454,Dasyprocta,Dasyproctidae,Rodentia,2300,1891.0246,EN,Herbivore
Dasypus hybridus,1423649702707.02,Dasypus,Dasypodidae,Cingulata,1500,1460,NT,Insectivore
Dasypus kappleri,6028982905855.73,Dasypus,Dasypodidae,Cingulata,9702.83,1642.5,LC,Insectivore
Dasypus novemcinctus,18207315624616,Dasypus,Dasypodidae,Cingulata,3949.01,1825,LC,Insectivore
Dasypus pilosus,53166271418.2981,Dasypus,Dasypodidae,Cingulata,4444.98,1642.5,DD,Insectivore
Dasypus sabanicola,441453960477.395,Dasypus,Dasypodidae,Cingulata,1150.01,1642.5,NT,Insectivore
Dasypus septemcinctus,5799177430455.93,Dasypus,Dasypodidae,Cingulata,1526.64,1642.5,LC,Insectivore
Dasypus yepesi,22458486709.5458,Dasypus,Dasypodidae,Cingulata,3712.245,1642.5,DD,Insectivore
Dasyurus albopunctatus,580310276111.419,Dasyurus,Dasyuridae,Dasyuromorphia,603.48,731.3936,NT,Carnivore
Dasyurus hallucatus,331666908787.111,Dasyurus,Dasyuridae,Dasyuromorphia,470.92,731.3936,EN,Insectivore
Dasyurus spartacus,26551560261.2246,Dasyurus,Dasyuridae,Dasyuromorphia,885.67,731.3936,NT,Omnivore
Daubentonia madagascariensis,125073197112.314,Daubentonia,Daubentoniidae,Primates,2731.37,2920,EN,Omnivore
Delanymys brooksi,3946316500.57435,Delanymys,Nesomyidae,Rodentia,4.99,1064.06475,VU,Omnivore
Delomys collinus,88348589325.1104,Delomys,Cricetidae,Rodentia,67,589.3882991,LC,Omnivore
Delomys dorsalis,291972006583.829,Delomys,Cricetidae,Rodentia,67.5,589.3882991,LC,Omnivore
Delomys sublineatus,150814590658.202,Delomys,Cricetidae,Rodentia,89.99,589.3882991,LC,Omnivore
Deltamys kempi,141581995438.96,Deltamys,Cricetidae,Rodentia,26.4,589.3882991,LC,Omnivore
Dendrogale melanura,68970537419.4026,Dendrogale,Tupaiidae,Scandentia,59.99,1458.084583,DD,Insectivore
Dendrogale murina,204367539816.502,Dendrogale,Tupaiidae,Scandentia,49.99,1458.084583,LC,Insectivore
Dendrohyrax arboreus,2446114406255.27,Dendrohyrax,Procaviidae,Hyracoidea,2981.11,2028.6186,LC,Herbivore
Dendrohyrax dorsalis,3057808982622,Dendrohyrax,Procaviidae,Hyracoidea,3174.99,1675.3724,LC,Herbivore
Dendrohyrax validus,37809884532.864,Dendrohyrax,Procaviidae,Hyracoidea,2430,1851.9955,NT,Herbivore
Dendrolagus bennettianus,3562457664.38631,Dendrolagus,Macropodidae,Diprotodontia,10458.82,3650,NT,Herbivore
Dendrolagus dorianus,39847247447.5015,Dendrolagus,Macropodidae,Diprotodontia,8976.58,3650,VU,Herbivore
Dendrolagus goodfellowi,114894762692.109,Dendrolagus,Macropodidae,Diprotodontia,7948.78,3650,EN,Herbivore
Dendrolagus inustus,144442130413.362,Dendrolagus,Macropodidae,Diprotodontia,12625,3650,VU,Herbivore
Dendrolagus mbaiso,5558308842.9959,Dendrolagus,Macropodidae,Diprotodontia,9395.06,3650,EN,Herbivore
Dendrolagus notatus,84949909262.0639,Dendrolagus,Macropodidae,Diprotodontia,9469.198333,3650,EN,Herbivore
Dendrolagus pulcherrimus,235410104.815977,Dendrolagus,Macropodidae,Diprotodontia,8025,3650,CR,Herbivore
Dendrolagus scottae,1246358282.78349,Dendrolagus,Macropodidae,Diprotodontia,9958.58,3650,CR,Herbivore
Dendrolagus spadix,49872442354.9555,Dendrolagus,Macropodidae,Diprotodontia,8468.2,3618.937877,VU,Herbivore
Dendrolagus stellarum,46918516299.4365,Dendrolagus,Macropodidae,Diprotodontia,9581,3650,VU,Herbivore
Dendrolagus ursinus,28295882610.8744,Dendrolagus,Macropodidae,Diprotodontia,13249.99,3650,VU,Herbivore
Dendromus insignis,26896866917.8657,Dendromus,Nesomyidae,Rodentia,11.051,604.575,LC,Omnivore
Dendromus kahuziensis,122945379.598018,Dendromus,Nesomyidae,Rodentia,3.009225357,1064.06475,CR,Omnivore
Dendromus kivu,27532342453.9055,Dendromus,Nesomyidae,Rodentia,8.508934408,1064.06475,LC,Omnivore
Dendromus lovati,38666734359.1981,Dendromus,Nesomyidae,Rodentia,12,604.575,LC,Omnivore
Dendromus melanotis,4305598268157.64,Dendromus,Nesomyidae,Rodentia,9.1,1064.06475,LC,Omnivore
Dendromus mesomelas,588635036541.536,Dendromus,Nesomyidae,Rodentia,10.2,604.575,LC,Omnivore
Dendromus messorius,60941429325.4802,Dendromus,Nesomyidae,Rodentia,4.039489771,1064.06475,LC,Omnivore
Dendromus mystacalis,2937067562721.8,Dendromus,Nesomyidae,Rodentia,8.17,1064.06475,LC,Omnivore
Dendromus nyikae,2375792292775.55,Dendromus,Nesomyidae,Rodentia,15,604.575,LC,Omnivore
Dendromus oreas,1370200429.05675,Dendromus,Nesomyidae,Rodentia,4.010694547,1064.06475,LC,Omnivore
Dendromus vernayi,318138087.29431,Dendromus,Nesomyidae,Rodentia,8.508934408,1064.06475,DD,Omnivore
